combo,bb100_0_mean,bb100_0_ci,first_ruin_hand_0_med,bb100_1_mean,bb100_1_ci,first_ruin_hand_1_med,bb100_2_mean,bb100_2_ci,first_ruin_hand_2_med,bb100_3_mean,bb100_3_ci,first_ruin_hand_3_med,bb100_4_mean,bb100_4_ci,first_ruin_hand_4_med,bb100_5_mean,bb100_5_ci,first_ruin_hand_5_med
agg2_passive4,-539.4744115459607,518.0668904576039,31.0,-211.15892016914216,328.84318572325793,17.0,-84.2126317302859,92.64789042737334,175.0,-131.32091143764814,120.53391063293314,160.0,-245.34678739902682,263.73987804913247,148.5,-112.1910665447547,126.38429170817327,43.0
benchmark_mix,-28.948938285970307,33.03916562338294,1035.0,-77.88516234682375,64.1758881086829,128.0,16.668080843106395,31.18132638034209,334.0,-104.62635374763781,91.09042304807463,145.0,-45.238650133518675,37.00961720176198,390.0,-80.53883779694422,83.45058177942252,222.0
six_adaptive,-99.28613539285683,128.31240100592376,325.0,-22.753240055710314,56.14525425526581,642.0,-58.388766233454,35.372007701319426,168.0,-30.229346695257107,29.665178108628496,524.0,-45.960899418639215,53.04879882059218,262.5,-46.49629448527205,41.53407978719616,243.0
six_aggressive,-148.92945935407275,176.4449396377349,190.5,-121.50793445196362,132.70508806762652,52.0,-47.5594957509245,66.44354300371526,363.0,-51.335408712374694,41.15764776318493,203.0,-103.04675968780639,115.05213807387912,288.0,-68.24205167386076,53.04943485604945,144.5
six_loose,-408.23970222598166,260.7038316387929,28.0,-172.4628333787109,296.3589336651953,211.0,-303.9790420539423,159.78602204564027,28.0,-76.76154674400726,137.71715426477013,1632.0,-4.56965802149573,20.120299228023004,6081.5,-74.76470721812495,26.960904930902522,136.0
six_mathematician,-58.284947544622284,79.4886444254696,260.0,-21.38246106457127,54.33470180656304,210.5,-60.16382962458947,41.06980357821706,176.0,-5.052117340492518,42.0260925033471,288.0,-26.505260780413277,48.99252596047079,866.0,-114.52907508043413,82.41710161530766,153.0
six_passive,-4.043794944089418,2.846665347134932,2298.0,-6.055483008161564,10.19501342938681,1179.0,-11.420817640072592,19.090242773644427,4472.0,-16.281514197872248,14.79231132170273,1334.0,-0.950081131233279,1.8905007014576118,15526.0,-3.6055310960772813,4.626604508745085,5254.5
six_tight,-0.6923715573667693,0.9793763147116005,7955.0,-0.03835226948979194,1.1526832708231924,8862.0,-0.5411433046612573,0.4123261551397018,13679.5,-6.284538964140025,5.249960051882414,1154.0,-2.716699985033256,2.6223776272102817,5785.0,-4.888502028761035,6.279838090313944,6511.5
tight3_agg3,-53.710001725388985,78.3339514508059,1010.5,-86.11722085296678,86.62142243685314,645.0,-17.274885388268693,13.90133027710759,645.0,-25.709554278792382,40.15476807167658,163.0,-85.25026778826819,51.56443168784979,123.0,-60.08333094575372,74.74035204927777,72.0
tight3_loose3,-36.75971787204456,18.260206041201336,262.0,-34.08176767106451,27.722817057688317,906.0,-83.26969291125651,93.08884094368837,347.0,-70.35327330621416,93.96968029586459,60.0,-10.713786975578888,19.060119387521855,1976.5,-117.3377858620614,115.53776213389207,41.0
